"Date","Price","Open","High","Low","Vol.","Change %"
"21/06/2023","0.000004","0.000003","0.000004","0.000002","2.21B","0.00%"
"20/06/2023","0.000003","0.000004","0.000005","0.000003","2.00B","-23.15%"
"19/06/2023","0.000004","0.000009","0.000010","0.000003","3.19B","-52.58%"
"18/06/2023","0.000009","0.000009","0.000010","0.000009","252.98M","0.00%"
"17/06/2023","0.000009","0.000007","0.000010","0.000007","1.11B","40.51%"
"16/06/2023","0.000007","0.000015","0.000015","0.000006","2.19B","-55.04%"
"15/06/2023","0.000015","0.000015","0.000016","0.000013","141.40M","0.00%"
"14/06/2023","0.000015","0.000018","0.000018","0.000015","162.72M","-16.19%"
"13/06/2023","0.000018","0.000019","0.000019","0.000018","12.02M","-6.15%"
"12/06/2023","0.000019","0.000019","0.000019","0.000019","","0.00%"
"11/06/2023","0.000019","0.000019","0.000019","0.000019","","0.00%"
"10/06/2023","0.000019","0.000020","0.000021","0.000019","82.56M","-4.35%"
"09/06/2023","0.000020","0.000020","0.000021","0.000020","32.28M","0.00%"
"08/06/2023","0.000020","0.000022","0.000022","0.000020","4.18B","-6.21%"
"07/06/2023","0.000022","0.000022","0.000022","0.000022","","0.00%"
"06/06/2023","0.000022","0.000022","0.000022","0.000022","","-3.82%"
"05/06/2023","0.000022","0.000023","0.000023","0.000022","8.27B","0.00%"
"04/06/2023","0.000023","0.000022","0.000023","0.000022","9.40B","2.50%"
"03/06/2023","0.000022","0.000022","0.000023","0.000022","9.52B","0.00%"
"02/06/2023","0.000022","0.000022","0.000022","0.000022","","0.00%"
